0;Mission type;Operator;COSPAR ID;SATCAT no.;Mission duration;Spacecraft;Manufacturer;Launch mass;Landing mass;Crew size;Members;Callsign;EVAs;EVA duration;Launch date;Rocket;Launch site;Recovered by;Landing date;Landing site;Referencesystem;Periselene;Aposelene;Epoch;Spacecraft component;Orbital insertion;Orbital departure;Orbits;Return launch;Sample mass;Surface EVAs;Distance covered;Docking date;Undocking date;Mass;Distance travelled;Orbits completed;Payload mass;Destroyed;Regime;Perigee;Apogee;Inclination;Period;Decay date;Names;Spacecraft type;Time docked;Contractor;Website;Dry mass;Dimensions;Power;Disposal;Deactivated;Semi-major axis;Eccentricity;RAAN;Argument of perigee;Mean anomaly;Mean motion;Revolution no.;Type;Diameter;Wavelengths;Instruments;DIRBE;FIRAS;DMR;Bus;Declared;Focal length;Collecting area;Resolution;ACIS;HRC;HETG;LETG;Deployment date;Entered service;Velocity;Focal ratio;NICMOS;ACS;WFC3;COS;STIS;FGS;Perihelion;Aphelion;IRAC;IRS;MIPS;Last contact;Recovery date;RPI;LENA;MENA;HENA;FUV;EUV;SA;LRS;CPC;Repeat interval;;AMR-2;DORIS;GPSP;LRA;CARMEN-3;LPT;Deployed from;Argument of perihelion;Bandwidth;ESA;TEAMS;HILT;LEICA;MAST;PET;Name;K band (23 GHz);Ka band (33 GHz);Q band (41 GHz);V band (61 GHz);W band (94 GHz);Impact site;Impact date;CRaTER;DLRE;LAMP;LEND;LOLA;LROC;Mini-RF;Harvard designation;Closest approach;Distance;Periareion;Apoareion;Band;RA;RAC;TEGA;MARDI;MET;SSI;MECA;OCAMS;OLA;OTES;OVIRS;REXIS;TAGSAM;CIDA;DFMI;SSC;DSE;NavCam;FC;VIR;GRaND;Atmospheric entry;NIMS;UVS;PPR;DDS;EPD;HIC;MAG;PLS;PWS;Perijove;Apojove;MWR;JIRAM;GRAV;JADE;JEDI;Waves;Pericytherion;Apocytherion;Perihermion;Apohermion;Argument of periapsis;Alice;LORRI;SWAP;PEPSSI;REX;Ralph;SDC;HMV;-;CPI;CRT;GTT;TRD;AMD;IPP;Longitude;Periapsis;Apoapsis;CDS;CELIAS;COSTEP;EIT;ERNE;GOLF;LASCO;MDI;SUMER;SWAN;UVCS;VIRGO;SECCHI;IMPACT;PLASTIC;S/WAVES;SWEAP;SPC;SPAN;WISPR;FIELDS;NIRCam;NIRSpec;MIRI;NIRISS;SI;G1;G2;BAT;XRT;UVOT;Slot;SEIS;HP3;RISE;TWINS;Altitude;PIMS;ICEMAG;MISE;EIS;REASON;E-THEMIS;MASPEX;Europa-UVS;SUDA;;;;
Apollo_17;Manned lunar landing;NASA;CSM: 1972-096ALM: 1972-096C;CSM: 6300LM: 6307;12days, 13hours, 51minutes, 59seconds;Apollo CSM-114Apollo LM-12;CSM: North American RockwellLM: Grumman;48,607 kilograms (107,161lb);5,500 kilograms (12,120lb);3;Eugene A. CernanRonald E. EvansHarrison H. Schmitt;CSM: AmericaLM: Challenger;1 in cislunar spacePlus 3 on the lunar surface;22hours, 3minutes, 57secondsFirst: 7hours, 11minutes, 53secondsSecond: 7hours, 36minutes, 56secondsThird: 7hours, 15minutes, 8seconds;December 7, 1972, 05:33:00(1972-12-07UTC05:33Z)UTC;Saturn V SA-512;Kennedy LC-39A;USSTiconderoga;December 11, 1972, 19:54:57UTC;201127N 304618E / 20.1908N 30.7717E / 20.1908;30.7717;Selenocentric;26.9 kilometers (14.5nmi);109.3 kilometers (59.0nmi);December 11, 4:04 UTC;Lunar Module;December 10, 1972, 19:47:22UTC;December 16, 1972, 23:35:09UTC;75;December 14, 1972, 22:54:37UTC;110.52 kilograms (243.7lb);3;35.74 kilometers (22.21mi);December 15, 1972, 01:10:15UTC;December 15, 1972, 04:51:31UTC;SIM:ALSEP:LRV: 463 pounds (210kg);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
STS-51-L;Satellite deployment;NASA;0;0;6 days 34 minutes (planned);Space Shuttle Challenger;0;121,778 kilograms (268,475lb);90,584 kilograms (199,704lb)(planned);7;Francis R. Scobee Michael J. Smith Ellison S. Onizuka Judith A. Resnik Ronald E. McNair Gregory B. Jarvis S. Christa McAuliffe;0;0;0;January28, 1986; 32 years ago(1986-01-28)16:38:00UTC;0;Kennedy LC-39B;0;0;Kennedy SLF Runway33 (planned);Geocentric;0;0;Planned;0;0;0;0;0;0;0;0;0;0;0;29 kilometres (18mi);Failed to achieve orbit(96 planned);21,937 kilograms (48,363lb);January28, 1986; 32 years ago(1986-01-28)16:39:13UTC;Low Earth;285 kilometres (177mi);295 kilometres (183mi);28.45 degrees;~90.4 minutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
STS-107;Microgravity research;NASA;2003-003A;27647;15days, 22hours, 20minutes, 32seconds;Space Shuttle Columbia;0;263,706 pounds (119,615kg);232,793 pounds (105,593kg) (expected);7;Rick D. HusbandWilliam C. McCoolDavid M. BrownKalpana ChawlaMichael P. AndersonLaurel B. ClarkIlan Ramon;0;0;0;January 16, 2003 15:39:00(2003-01-16UTC15:39Z)UTC;0;Kennedy LC-39A;0;0;Kennedy SLF Runway33 (planned);Geocentric;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,600,000 miles (10,600,000km);255;32,084 pounds (14,553kg);0;Low Earth;170 miles (270km);177 miles (285km);39.0 degrees;90.1 minutes;February 1, 2003, 13:59:32(2003-02-01UTC13:59:33Z)UTCDisintegrated during reentry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Apollo_1;Crewed spacecraft verification test;NASA;0;0;Up to 14 days (planned);CSM-012;North American Aviation;20,000 kilograms (45,000lb);0;3;"Virgil I. ""Gus"" GrissomEd WhiteRoger B. Chaffee";0;0;0;February 21, 1967 (planned);Saturn IB AS-204;Cape Kennedy LC-34;0;0;0;Geocentric;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;January27, 1967; 51 years ago(1967-01-27) 23:31:19UTC;Low Earth orbit;220 kilometers (120nmi) (planned);300 kilometers (160nmi) (planned);31degrees (planned);89.7minutes (planned);0;AS-204, Apollo 1;Apollo Command/Service Module, Block I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Apollo%E2%80%93Soyuz_Test_Project;Cooperative/scientific;NASA;Soyuz: 1975-065AApollo: 1975-066A;Soyuz: 8030Apollo: 8032;Soyuz: 5 d 22 h 30 mApollo: 9 d 01 h 28 min;Apollo CSM-111Soyuz 19;0;Apollo: 14,768kg (32,558lb)Docking Module: 2,012kg (4,436lb)Soyuz: 6,790kg (14,970lb);0;Apollo: 3Soyuz: 2;Thomas P. StaffordVance D. BrandDonald K. SlaytonAlexey LeonovValeri Kubasov;0;0;Soyuz: 12:20:00, July15,1975(1975-07-15T12:20:00) UTCApollo: 19:50:00, July15,1975(1975-07-15T19:50:00) UTC;Soyuz: Soyuz-UApollo: Saturn IB SA-210;Soyuz: Gagarin's Start, Baikonur CosmodromeApollo: Kennedy LC-39B;Soyuz: Soviet Armed ForcesApollo: USSNew Orleans;Soyuz: 10:50:00, July21,1975(1975-07-21T10:50:00)Apollo: 21:18:00, July24,1975(1975-07-24T21:18:00);Geocentric;0;0;0;0;0;0;0;0;0;0;0;First: 16:19:09, July17,1975(1975-07-17T16:19:09) UTC;Last: 15:26:12, July19,1975(1975-07-19T15:26:12) UTC;0;0;Apollo: 148Soyuz: 96;0;0;Low Earth;217km (135mi);231km (144mi);51.75;88.91 minutes;0;0;Apollo: Block II Apollo CSM and Apollo Docking ModuleSoyuz: Soyuz 7K-TM;1 day, 23 hours, 07 min, 03 sec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
EFT-1;Uncrewed test flight;NASA;2014-077A;40329;4hours, 24minutes;0;Lockheed Martin;0;0;0;0;0;0;0;December 5, 2014, 12:05(2014-12-05UTC12:05Z)UTC (07:05EST);Delta IV Heavy;Cape Canaveral SLC-37B;USSAnchorage;December 5, 2014, 16:29(2014-12-05UTC16:30Z)UTC;Pacific Ocean,640 miles (1,030km) SSE of San Diego2337N 11428W / 23.61N 114.46W / 23.61; -114.46 (EFT-1 splashdown);Geocentric;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5,800 kilometres (3,604mi);0;0;0;0;Orion MPCV;0;United Launch Alliance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Exploration_Mission_1;Lunar orbital test flight;NASA;0;0;Planned: 3 weeks;0;Lockheed Martin/ Airbus;0;0;0;0;0;0;0;Planned: June 2020(2020-06);SLS Block 1;Kennedy LC-39B;0;0;Pacific Ocean;Selenocentric;0;0;0;0;Planned: 2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 days;0;0;Orion MPCV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Exploration_Mission_2;Crewed lunar flyby;NASA;0;0;0;0;0;0;0;0;0;0;0;0;2023 (planned);SLS Block 1;Kennedy LC-39B;0;0;Pacific Ocean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Orion MPCV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Cosmic_Background_Explorer;CMBR Astronomy;NASA;1989-089A;20322;Final: 4years, 1month, 5days;0;GSFC;2,270kg (5,000lb);0;0;0;0;0;0;18 November 1989, 14:34(1989-11-18UTC14:34)UTC;Delta 5920-8;SLC-2W Vandenberg;0;0;0;Geocentric;0;0;21 July 2015, 15:14:58UTC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sun-synchronous;877.8km (545.4mi);891.4km (553.9mi);98.9808degrees;102.5minutes;0;Explorer 66;0;0;0;lambda.gsfc.nasa.gov/product/cobe;1,408kg (3,104lb);542W;Decommissioned;23 December 1993(1993-12-24);7,255km (4,508mi);0.0009394;215.4933degrees;52.8270degrees;351.1007degrees;14.04728277rev/day;31549;off-axis Gregorian (DIRBE);19cm (7.5in);Microwave, Infrared;InstrumentsDIRBE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Differential Microwave Radiometer;Diffuse Infrared Background Experiment;Far-InfraRed Absolute Spectrophotometer;Differential Microwave Radiometer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
